"","Country","Action","Adult","Adventure","Animation","Biography","Comedy","Crime","Documentary","Drama","Family","Fantasy","FilmNoir","GameShow","History","Horror","Music","Musical","Mystery","News","RealityTV","Romance","SciFi","Short","Sport","TalkShow","Thriller","War","Western","Total","Continent","Population","gdp"
"111","Norway",27,0,44,31,2,157,49,55,279,80,21,0,0,5,12,4,8,19,0,0,31,10,142,6,0,37,11,0,1030,"Europe",5320045,364700
"112","Pakistan",6,0,0,0,1,5,1,1,19,1,1,0,0,1,2,0,7,0,0,0,8,0,3,0,0,2,0,0,58,"Asia",204924861,988200
"113","Palestine",0,0,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,15,"Asia",4543126,21220.77
"114","Panama",1,1,1,0,0,1,1,2,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,15,"North America",3753142,93120
"115","Paraguay",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"South America",6943739,64670
"116","Peru",5,0,5,2,0,8,4,1,30,2,1,0,0,0,2,0,0,0,0,0,4,3,5,0,0,5,0,0,77,"South America",31036656,410400
"117","Philippines",138,1,39,0,4,104,17,4,289,9,33,0,0,3,47,1,13,8,0,0,93,17,4,1,0,32,33,1,891,"Asia",104256076,801900
"118","Poland",32,0,20,30,7,187,43,43,312,14,18,0,0,13,13,10,13,18,0,0,69,16,84,1,0,24,41,2,1010,"Europe",38476269,1052000
"119","Portugal",9,1,6,10,6,57,11,28,145,1,7,0,0,4,7,0,8,7,0,0,25,2,73,0,0,8,3,0,418,"Europe",10839514,297100
"120","Puerto Rico",1,0,3,1,0,9,0,1,16,1,2,0,0,0,2,0,2,0,0,0,3,1,3,1,0,3,1,0,50,"North America",3351827,131000
